Role,Wikidata identifier,Wikidata label,Wikidata type,UM identifier,UM label,UM type
arpeggione,http://www.wikidata.org/entity/Q638182,Arpeggione,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um135,Arpeggione,https://data.muziekschatten.nl/som/Instrument
baglama,http://www.wikidata.org/entity/Q717773,bağlama,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um160,Baglama,https://data.muziekschatten.nl/som/Instrument
bajan,http://www.wikidata.org/entity/Q804099,bajan,http://www.wikidata.org/entity/Q34379,,,
balafoon,http://www.wikidata.org/entity/Q789141,balafoon,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um165,Balafoon,https://data.muziekschatten.nl/som/Instrument
bamboefluit,http://www.wikidata.org/entity/Q54820129,bamboefluit,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um175,Bamboefluit,https://data.muziekschatten.nl/som/Instrument
bandoneon,http://www.wikidata.org/entity/Q215032,bandoneon,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um182,Bandoneon,https://data.muziekschatten.nl/som/Instrument
banjo,http://www.wikidata.org/entity/Q258896,banjo,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um195,Banjo,https://data.muziekschatten.nl/som/Instrument
bansri,http://www.wikidata.org/entity/Q960389,bansuri,http://www.wikidata.org/entity/Q34379,,,
baritongitaar,http://www.wikidata.org/entity/Q64038,baritongitaar,http://www.wikidata.org/entity/Q34379,,,
baritonsaxofoon,http://www.wikidata.org/entity/Q808218,baritonsaxofoon,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um213,Baritonsaxofoon,https://data.muziekschatten.nl/som/Instrument
barokgitaar,http://www.wikidata.org/entity/Q748119,Baroque guitar,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um224,Barokgitaar,https://data.muziekschatten.nl/som/Instrument
barokharp,http://www.wikidata.org/entity/Q47369,harp,http://www.wikidata.org/entity/Q34379,,,
barokhobo,http://www.wikidata.org/entity/Q8377,hobo,http://www.wikidata.org/entity/Q34379,,,
barokviool,http://www.wikidata.org/entity/Q808578,Barokviool,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um228,Barokviool,https://data.muziekschatten.nl/som/Instrument
baryton,http://www.wikidata.org/entity/Q521151,barytone,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um229,Baryton,https://data.muziekschatten.nl/som/Instrument
basfluit,http://www.wikidata.org/entity/Q266675,Basfluit,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um242,Basfluit,https://data.muziekschatten.nl/som/Instrument
basgamba,http://www.wikidata.org/entity/Q51446928,viola da gamba,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um245,Basgamba,https://data.muziekschatten.nl/som/Instrument
basgitaar,http://www.wikidata.org/entity/Q46185,basgitaar,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um247,Basgitaar,https://data.muziekschatten.nl/som/Instrument
basklarinet,http://www.wikidata.org/entity/Q8345,basklarinet,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um254,Basklarinet,https://data.muziekschatten.nl/som/Instrument
bass,http://www.wikidata.org/entity/Q810447,basinstrument,http://www.wikidata.org/entity/Q34379,,,
basset-klarinet,http://www.wikidata.org/entity/Q810511,bassetklarinet,http://www.wikidata.org/entity/Q34379,,,
bassethoorn,http://www.wikidata.org/entity/Q810515,bassethoorn,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um274,Bassethoorn,https://data.muziekschatten.nl/som/Instrument
bassetklarinet,http://www.wikidata.org/entity/Q810511,bassetklarinet,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um276,Bassetklarinet,https://data.muziekschatten.nl/som/Instrument
bastrombone,http://www.wikidata.org/entity/Q13194854,bastrombone,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um282,Bastrombone,https://data.muziekschatten.nl/som/Instrument
bastuba,http://www.wikidata.org/entity/Q131168,tuba,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um286,Bastuba,https://data.muziekschatten.nl/som/Instrument
basuri,http://www.wikidata.org/entity/Q960389,bansuri,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um289,Basuri,https://data.muziekschatten.nl/som/Instrument
basvedel,http://www.wikidata.org/entity/Q843679,vedel,http://www.wikidata.org/entity/Q34379,,,
bawu,http://www.wikidata.org/entity/Q812043,Bawu,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um295,Bawu,https://data.muziekschatten.nl/som/Instrument
bekkens,http://www.wikidata.org/entity/Q190172,bekken,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um308,Bekkens (set) - familie,https://data.muziekschatten.nl/som/Instrument
bellen,http://www.wikidata.org/entity/Q101401,klok (bel),http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um313,Bellen (set),https://data.muziekschatten.nl/som/Instrument
bendir,http://www.wikidata.org/entity/Q816793,adjun,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um316,Bendir,https://data.muziekschatten.nl/som/Instrument
biwa,http://www.wikidata.org/entity/Q829729,biwa,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um343,Biwa,https://data.muziekschatten.nl/som/Instrument
blaasinstrumenten,http://www.wikidata.org/entity/Q173453,blaasinstrument,http://www.wikidata.org/entity/Q34379,,,
blazers,http://www.wikidata.org/entity/Q173453,blaasinstrument,http://www.wikidata.org/entity/Q34379,,,
blokfluit,http://www.wikidata.org/entity/Q187851,blokfluit,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um361,Blokfluit - familie,https://data.muziekschatten.nl/som/Instrument
blokfluit alt,http://www.wikidata.org/entity/Q15791824,altblokfluit,http://www.wikidata.org/entity/Q34379,,,
blokfluit bas,http://www.wikidata.org/entity/Q3353648,basblokfluit,http://www.wikidata.org/entity/Q34379,,,
blokfluit sopraan,http://www.wikidata.org/entity/Q1823258,sopraanblokfluit,http://www.wikidata.org/entity/Q34379,,,
blokfluit tenor,http://www.wikidata.org/entity/Q2037451,Tenorblokfluit,http://www.wikidata.org/entity/Q34379,,,
blokluit,http://www.wikidata.org/entity/Q187851,blokfluit,http://www.wikidata.org/entity/Q34379,,,
bongo's,http://www.wikidata.org/entity/Q243998,bongo,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um391,Bongo's,https://data.muziekschatten.nl/som/Instrument
bouzouki,http://www.wikidata.org/entity/Q322675,bouzouki,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um400,Bouzouki,https://data.muziekschatten.nl/som/Instrument
bugel,http://www.wikidata.org/entity/Q382616,bugel,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um423,Bugel,https://data.muziekschatten.nl/som/Instrument
buisklokken,http://www.wikidata.org/entity/Q178812,buisklokken,http://www.wikidata.org/entity/Q34379,https://data.muziekschatten.nl/som/um428,Buisklokken (set),https://data.muziekschatten.nl/som/Instrument
